BuGn,BuPu,GnBu,OrRd,PuBu,PuBuGn,PuRd,RdPu,YlGN,YlGnBU,YlOrBr,YlOrRd,Blues,Greens,Greys,Oranges,Purples,Red,BrBG,PiYG,PRGn,PuOr,RdBu,RdGy,RdYlBu,RdYlGn,Spectral,12-class-paired,12-class-set3
#f7fcfd,#f7fcfd,#f7fcf0,#fff7ec,#fff7fb,#fff7fb,#f7f4f9,#fff7f3,#ffffe5,#ffffd9,#ffffe5,#ffffcc,#f7fbff,#f7fcf5,#ffffff,#fff5eb,#fcfbfd,#fff5f0,#543005,#8e0152,#40004b,#7f3b08,#67001f,#67001f,#a50026,#a50026,#9e0142,#a6cee3,#8dd3c7
#e5f5f9,#e0ecf4,#e0f3db,#fee8c8,#ece7f2,#ece2f0,#e7e1ef,#fde0dd,#f7fcb9,#edf8b1,#fff7bc,#ffeda0,#deebf7,#e5f5e0,#f0f0f0,#fee6ce,#efedf5,#fee0d2,#8c510a,#c51b7d,#762a83,#b35806,#b2182b,#b2182b,#d73027,#d73027,#d53e4f,#1f78b4,#ffffb3
#ccece6,#bfd3e6,#ccebc5,#fdd49e,#d0d1e6,#d0d1e6,#d4b9da,#fcc5c0,#d9f0a3,#c7e9b4,#fee391,#fed976,#c6dbef,#c7e9c0,#d9d9d9,#fdd0a2,#dadaeb,#fcbba1,#bf812d,#de77ae,#9970ab,#e08214,#d6604d,#d6604d,#f46d43,#f46d43,#f46d43,#b2df8a,#bebada
#99d8c9,#9ebcda,#a8ddb5,#fdbb84,#a6bddb,#a6bddb,#c994c7,#fa9fb5,#addd8e,#7fcdbb,#fec44f,#feb24c,#9ecae1,#a1d99b,#bdbdbd,#fdae6b,#bcbddc,#fc9272,#dfc27d,#f1b6da,#c2a5cf,#fdb863,#f4a582,#f4a582,#fdae61,#fdae61,#fdae61,#33a02c,#fb8072
#66c2a4,#8c96c6,#7bccc4,#fc8d59,#74a9cf,#67a9cf,#df65b0,#f768a1,#78c679,#41b6c4,#fe9929,#fd8d3c,#6baed6,#74c476,#969696,#fd8d3c,#9e9ac8,#fb6a4a,#f6e8c3,#fde0ef,#e7d4e8,#fee0b6,#fddbc7,#fddbc7,#fee090,#fee08b,#fee08b,#fb9a99,#80b1d3
#41ae76,#8c6bb1,#4eb3d3,#ef6548,#3690c0,#3690c0,#e7298a,#dd3497,#41ab5d,#1d91c0,#ec7014,#fc4e2a,#4292c6,#41ab5d,#737373,#f16913,#807dba,#ef3b2c,#f5f5f5,#f7f7f7,#f7f7f7,#f7f7f7,#f7f7f7,#ffffff,#ffffbf,#ffffbf,#ffffbf,#e31a1c,#fdb462
#238b45,#88419d,#2b8cbe,#d7301f,#0570b0,#02818a,#ce1256,#ae017e,#238443,#225ea8,#cc4c02,#e31a1c,#2171b5,#238b45,#525252,#d94801,#6a51a3,#cb181d,#c7eae5,#e6f5d0,#d9f0d3,#d8daeb,#d1e5f0,#e0e0e0,#e0f3f8,#d9ef8b,#e6f598,#fdbf6f,#b3de69
#006d2c,#810f7c,#0868ac,#b30000,#045a8d,#016c59,#980043,#7a0177,#006837,#253494,#993404,#bd0026,#08519c,#006d2c,#252525,#a63603,#54278f,#a50f15,#80cdc1,#b8e186,#a6dba0,#b2abd2,#92c5de,#bababa,#abd9e9,#a6d96a,#abdda4,#ff7f00,#fccde5
#00441b,#4d004b,#084081,#7f0000,#023858,#014636,#67001f,#49006a,#004529,#081d58,#662506,#800026,#08306b,#00441b,#000000,#7f2704,#3f007d,#67000d,#35978f,#7fbc41,#5aae61,#8073ac,#4393c3,#878787,#74add1,#66bd63,#66c2a5,#cab2d6,#d9d9d9
,,,,,,,,,,,,,,,,,,#01665e,#4d9221,#1b7837,#542788,#2166ac,#4d4d4d,#4575b4,#1a9850,#3288bd,#6a3d9a,#bc80bd
,,,,,,,,,,,,,,,,,,#003c30,#276419,#00441b,#2d004b,#053061,#1a1a1a,#313695,#006837,#5e4fa2,#ffff99,#ccebc5
,,,,,,,,,,,,,,,,,,,,,,,,,,,#b15928,#ffed6f
